Namee,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
Dinesh Deenu,9923998794,Bageshwar,Google Ad,Ronak Jadhav,End Lead,NO,NO
Chellapandi Pandi,9782442949,Madurai,Google Ad,Deepali Kasatwar,Active lead,NO,NO
Anand Nanda,8929922349,jamakandi,Google Ad,Roshan Patil,Active lead,NO,NO
Saroj Kumar,8921739233,Kolkata,Google Ad,Kiran Dhakal,Active lead,NO,NO
Jitendrasinh Rajput Garashiya,9323891992,Anand,Insta,Pooja Melwani,Active lead,NO,NO
Manish Vaghasiya,9427179278,surat,Insta,Manisha Parte,Active lead,NO,NO
Piyush Raj,8983227238,Sitamarhi,Insta,Anchal Mishra,Hot lead,NO,NO
Gokul Msd,9222393999,Tirupur,Insta,Nilesh Shinde,Active lead,NO,NO
Raut Jayesh,8429291927,Dharampur,Insta,Deepali Yadav,Active lead,NO,NO
Sanjay Rai,9931729232,jameshpur,Insta,Ritik Yadav,End Lead,NO,NO
Ganesh Ramjivan Navandar,9923229122,Aurangabad,Insta,Abhijeet Bramhane,End Lead,NO,NO
Ramakanta Palei,9438399222,Bhadrak,Insta,Akash Sharma,Active lead,NO,NO
Balakrishna Tandel,9489991391,Karwar,Insta,Suryakant Choudhary,Active lead,NO,NO
Umesh Vaidya,9822299927,Chicago,Insta,Sushant Nikam,Active lead,NO,NO
Sagar Patil,8922229922,Solapur,FB,Azimuddin Mohd,End Lead,NO,NO
Kamlesh Kb,8299139992,bhilawada,FB,Tamanna Sahu,Active lead,NO,NO
Prabhat Pathak,8999848127,Barabanki,FB,Rohit Sonar,End Lead,NO,NO
Mohan Chakkarwar,9421949873,Nanded,FB,Ronak Jadhav,Active lead,NO,NO
Sanjay Mahawar,9413992492,khairthal,FB,Deepali Kasatwar,End Lead,NO,NO
Srinivasreddy Rollakanti,9222979929,Miryalaguda,FB,Roshan Patil,End Lead,NO,NO
Praveen Kumar Shukla,9889391498,Lakhimpur,FB,Kiran Dhakal,End Lead,NO,NO
Anil Kumar Padigela,8897299292,Vemulawada,FB,Pooja Melwani,End Lead,NO,NO
Joyjit Mukherjee,9832382221,Kolkata,FB,Manisha Parte,End Lead,NO,NO
Bhavik Patel,9979211949,Surat,Investment Leads,Anchal Mishra,Active lead,NO,NO
Er. SHRIJAN URMALIA,9949281217,Kolkata,Investment Leads,Nilesh Shinde,Active lead,NO,NO
Mahantagouda Patil,9232829732,Mumbai,Investment Leads,Deepali Yadav,Hot lead,YES,Coverted
Harpal Sinh,9933898494,Surat,Investment Leads,Ritik Yadav,Active lead,NO,NO
Akash Kadam,8722897794,Solapur,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
amit Shah,9719389914,Surat,Investment Leads,Akash Sharma,Active lead,NO,NO
Sathya,9229789827,Nagpur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Samadhan Sonawane,9724989992,Nagpur,Investment Leads,Sushant Nikam,End Lead,NO,NO
Pratik Rajebhosale,7728871299,Solapur,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Swayam Patil,7321122992,Mumbai,Calling,Tamanna Sahu,Active lead,NO,NO
Soham Kadam,8297127721,Solapur,Calling,Rohit Sonar,Active lead,NO,NO
Bhavesh Patel,9239222222,Surat,Calling,Sushant Nikam,Hot lead,NO,YES
Pratik Patil,2372222329,Mumbai,whatsapp,Azimuddin Mohd,Hot lead,YES,Coverted
Tanish choudary,9929722298,Surat,whatsapp,Tamanna Sahu,Hot lead,YES,Coverted
Shushant Bhatt,8242723322,Punjab,whatsapp,Rohit Sonar,End Lead,NO,NO
Atul Kumar Arora,8817188889,Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Bhushan,9972227728,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Vishal Sitlani,8392387222,Surat,Investment Leads,Roshan Patil,Hot lead,YES,Coverted
Mohansingh Pardeshi,9193912872,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
JB,9239228218,Mumbai,Investment Leads,Pooja Melwani,Hot lead,YES,Coverted
Pratik,7784977728,Nagpur,whatsapp,Manisha Parte,End Lead,NO,NO
Soham,7819347492,Mumbai,whatsapp,Anchal Mishra,Hot lead,YES,Coverted
Swayam,7792282223,Surat,whatsapp,Nilesh Shinde,Hot lead,YES,Coverted
Ameya,7799112293,tamilnadu,whatsapp,Deepali Yadav,End Lead,NO,NO
Harshal,7287932288,Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
Viransh,8978282192,ballia,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Dhruwa Narayan Singh,9422289292,Ballia,Google Ad,Akash Sharma,Active lead,NO,NO
Amrit Arora,9812489713,jaitu punjab,Google Ad,Suryakant Choudhary,Active lead,NO,NO
SN Bhaskar Ram Reddy,8792922788,Kolar Gold Fields (KGF),Google Ad,Sushant Nikam,End Lead,NO,NO
Anil Kumar,9784192932,Alwar City,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Pãñkäj Sïngh NEgï,7232933194,Dehradun,Google Ad,Tamanna Sahu,Hot lead,NO,NO
Amresh Singh,2282489914,Singapore,Google Ad,Rohit Sonar,Active lead,NO,NO
Rinku Meena,9289224944,Jaipur,Google Ad,Ronak Jadhav,Active lead,NO,NO
Anil Mishra,7324199322,Hatta,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Arun Chauhan,8779312129,Mumbai,Insta,Roshan Patil,Hot lead,NO,YES
Rajiv Khera,9227129222,Amritsar Punjab,Insta,Kiran Dhakal,End Lead,NO,NO
Wasim Akram,9272129843,SAMASTIPUR,Insta,Pooja Melwani,End Lead,NO,NO
Raj Kumar,9932982889,Barabanki,Insta,Manisha Parte,Active lead,NO,NO
Dilip Dastavej,8829884229,Mehsana,Insta,Anchal Mishra,Active lead,NO,NO
Yashwant Gayakawad,9724999219,nagpur,Insta,Nilesh Shinde,Active lead,NO,NO
Fazil,9944812439,Coimbatore,FB,Deepali Yadav,Active lead,NO,NO
Vikram Khanvilkar,9422992922,ratnagiri,FB,Ritik Yadav,End Lead,NO,NO
Chakkara Jayaraj,9492921222,"Wayanad, Kerala.",FB,Abhijeet Bramhane,End Lead,NO,NO
Suresh Aala,9399229129,Podili,FB,Akash Sharma,Active lead,NO,NO
Rajaovia Rajaovia,9788229492,tamilnadu,FB,Suryakant Choudhary,End Lead,NO,NO
Rajesh Singh Yadav,9929278922,Gwalior,FB,Sushant Nikam,End Lead,NO,NO
Bhart Shukla,7894922272,Dharmshala (Dharamshala),FB,Azimuddin Mohd,Active lead,NO,NO
Ravi Prasad,8192397933,Mysore,FB,Tamanna Sahu,Hot lead,NO,NO
Savita Dilip Nikam,9923292482,Aurangabad,FB,Rohit Sonar,Active lead,NO,NO
Binanda Doley,8927748131,Ase,Google Ad,Ronak Jadhav,Active lead,NO,NO
